,bigpointvalue,tick,file_name,uct_offset,type_session,resample_tf,start_date,end_date,custom_session_start,custom_session_stop,costi,direzione,tipo_ordine,entry_rules,exit_bars,level,ADD_RULE_CONDITION,TP,SL
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,(CloseToCloseLog(DATAFRAME).shift(1)>(CloseToCloseLog(DATAFRAME).shift(3)*3.0))&(AvgPriceToMedPriceLog(DATAFRAME).shift(1)>(AvgPriceToMedPriceLog(DATAFRAME).shift(4)*4.5))&(HighToHighLog(DATAFRAME).shift(1)>(HighToHighLog(DATAFRAME).shift(4)*3.5))&(CloseToMedBodyPriceLog(DATAFRAME).shift(1)>(CloseToMedBodyPriceLog(DATAFRAME).shift(2)*3.5))&~(HighToMedBodyPriceLog(DATAFRAME).shift(1)>(HighToMedBodyPriceLog(DATAFRAME).shift(2)*5.0)),11,history.close,False,3634,2781
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,(HighToHighLog(DATAFRAME).shift(1)>(HighToHighLog(DATAFRAME).shift(3)*1.0))&(CloseToMedPriceLog(DATAFRAME).shift(1)>(CloseToMedPriceLog(DATAFRAME).shift(2)*1.5))&(AvgPriceToLowLog(DATAFRAME).shift(1)>(AvgPriceToLowLog(DATAFRAME).shift(4)*0.5))&(HighToOpenLog(DATAFRAME).shift(1)>(HighToOpenLog(DATAFRAME).shift(4)*3.0))&~(BodyToRangeLog(DATAFRAME).shift(1)>(BodyToRangeLog(DATAFRAME).shift(3)*3.0)),11,history.close,False,3168,2509
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,(AvgPriceToLowLog(DATAFRAME).shift(1)>(AvgPriceToLowLog(DATAFRAME).shift(2)*0.5))&(MedPriceToMedBodyPriceLog(DATAFRAME).shift(1)>(MedPriceToMedBodyPriceLog(DATAFRAME).shift(2)*4.0))&(BodyLog(DATAFRAME).shift(1)>(BodyLog(DATAFRAME).shift(2)*0.5))&(CloseToMedPriceLog(DATAFRAME).shift(1)>(CloseToMedPriceLog(DATAFRAME).shift(2)*5.0))&~(HighToAvgPriceLog(DATAFRAME).shift(1)>(HighToAvgPriceLog(DATAFRAME).shift(4)*1.0)),10,history.close,False,3195,2300
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,(CloseToMedPriceLog(DATAFRAME).shift(1)>(CloseToMedPriceLog(DATAFRAME).shift(2)*1.0))&(CloseToLowLog(DATAFRAME).shift(1)>(CloseToLowLog(DATAFRAME).shift(2)*5.0))&(CloseToMedBodyPriceLog(DATAFRAME).shift(1)>(CloseToMedBodyPriceLog(DATAFRAME).shift(2)*1.5))&(CloseToLowLog(DATAFRAME).shift(1)>(CloseToLowLog(DATAFRAME).shift(2)*3.5))&~(HighToMedPriceLog(DATAFRAME).shift(1)>(HighToMedPriceLog(DATAFRAME).shift(2)*1.0)),9,history.close,False,2936,2475
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,(HighToHighLog(DATAFRAME).shift(1)>(HighToHighLog(DATAFRAME).shift(2)*1.0))&(MedPriceToLowLog(DATAFRAME).shift(1)>(MedPriceToLowLog(DATAFRAME).shift(3)*1.0))&(HighToHighLog(DATAFRAME).shift(1)>(HighToHighLog(DATAFRAME).shift(4)*3.5))&(OpenToMedBodyPriceLog(DATAFRAME).shift(1)>(OpenToMedBodyPriceLog(DATAFRAME).shift(2)*3.0))&~(RangeLog(DATAFRAME).shift(1)>(RangeLog(DATAFRAME).shift(4)*1.5)),10,history.close,False,2763,2726
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,(MedPriceToLowLog(DATAFRAME).shift(1)>(MedPriceToLowLog(DATAFRAME).shift(3)*0.5))&(CloseToCloseLog(DATAFRAME).shift(1)>(CloseToCloseLog(DATAFRAME).shift(3)*2.0))&(OpenToAvgPriceLog(DATAFRAME).shift(1)>(OpenToAvgPriceLog(DATAFRAME).shift(2)*1.0))&(HighToCloseLog(DATAFRAME).shift(1)>(HighToCloseLog(DATAFRAME).shift(2)*1.5))&~(MedBodyPriceToMedBodyPriceLog(DATAFRAME).shift(1)>(MedBodyPriceToMedBodyPriceLog(DATAFRAME).shift(4)*5.0)),5,history.close,False,2179,1800
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,(HighToMedBodyPriceLog(DATAFRAME).shift(1)>(HighToMedBodyPriceLog(DATAFRAME).shift(3)*0.5))&(HighToMedBodyPriceLog(DATAFRAME).shift(1)>(HighToMedBodyPriceLog(DATAFRAME).shift(4)*0.5))&(AvgPriceToMedPriceLog(DATAFRAME).shift(1)>(AvgPriceToMedPriceLog(DATAFRAME).shift(4)*4.5))&(HighToOpenLog(DATAFRAME).shift(1)>(HighToOpenLog(DATAFRAME).shift(3)*2.5))&~(BodyLog(DATAFRAME).shift(1)>(BodyLog(DATAFRAME).shift(2)*1.5)),7,history.close,False,2079,1843
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,(OpenToOpenLog(DATAFRAME).shift(1)>(OpenToOpenLog(DATAFRAME).shift(4)*4.5))&(CloseToLowLog(DATAFRAME).shift(1)>(CloseToLowLog(DATAFRAME).shift(4)*1.5))&(OpenToMedPriceLog(DATAFRAME).shift(1)>(OpenToMedPriceLog(DATAFRAME).shift(2)*1.0))&(RangeLog(DATAFRAME).shift(1)>(RangeLog(DATAFRAME).shift(4)*0.5))&~(HighToHighLog(DATAFRAME).shift(1)>(HighToHighLog(DATAFRAME).shift(2)*1.0)),9,history.close,False,2515,2357
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,(BodyLog(DATAFRAME).shift(1)>(BodyLog(DATAFRAME).shift(2)*0.5))&(AvgPriceToMedPriceLog(DATAFRAME).shift(1)>(AvgPriceToMedPriceLog(DATAFRAME).shift(4)*1.5))&(MedBodyPriceToMedBodyPriceLog(DATAFRAME).shift(1)>(MedBodyPriceToMedBodyPriceLog(DATAFRAME).shift(4)*3.5))&(AvgPriceToMedBodyPriceLog(DATAFRAME).shift(1)>(AvgPriceToMedBodyPriceLog(DATAFRAME).shift(3)*1.5))&~(CloseToLowLog(DATAFRAME).shift(1)>(CloseToLowLog(DATAFRAME).shift(2)*3.0)),9,history.close,False,2839,2308
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,(CloseToMedBodyPriceLog(DATAFRAME).shift(1)>(CloseToMedBodyPriceLog(DATAFRAME).shift(2)*4.0))&(MedBodyPriceToMedBodyPriceLog(DATAFRAME).shift(1)>(MedBodyPriceToMedBodyPriceLog(DATAFRAME).shift(4)*4.5))&(CloseToLowLog(DATAFRAME).shift(1)>(CloseToLowLog(DATAFRAME).shift(4)*0.5))&(MedBodyPriceToMedBodyPriceLog(DATAFRAME).shift(1)>(MedBodyPriceToMedBodyPriceLog(DATAFRAME).shift(4)*4.0))&~(CloseToMedPriceLog(DATAFRAME).shift(1)>(CloseToMedPriceLog(DATAFRAME).shift(4)*0.5)),12,history.close,False,3538,2712
