,bigpointvalue,tick,file_name,uct_offset,type_session,resample_tf,start_date,end_date,custom_session_start,custom_session_stop,costi,direzione,tipo_ordine,entry_rules,exit_bars,level,ADD_RULE_CONDITION,TP,SL
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,"(RSI(AvgPrice(DATAFRAME),126).shift(1)>RSI(MedBodyPrice(DATAFRAME),24).shift(1))&(SMA(CLOSE(DATAFRAME),65).shift(3)<OPEN(DATAFRAME).shift(2))",8,history.close,False,2736,2111
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,"(SMA(CLOSE(DATAFRAME),195).shift(3)<LOW(DATAFRAME).shift(4))&(SMA(CLOSE(DATAFRAME),10).shift(1)>AvgPrice(DATAFRAME).shift(2))",13,history.close,False,3002,2677
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,"(RSI(HIGH(DATAFRAME),172).shift(4)>RSI(AvgPrice(DATAFRAME),19).shift(4))&(SMA(MedBodyPrice(DATAFRAME),100).shift(1)<HIGH(DATAFRAME).shift(3))",5,history.close,False,2268,1734
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,"(RSI(MedBodyPrice(DATAFRAME),6).shift(2)<RSI(MedBodyPrice(DATAFRAME),182).shift(2))&(SMA(MedBodyPrice(DATAFRAME),175).shift(2)<SMA(MedBodyPrice(DATAFRAME),30).shift(2))",14,history.close,False,3122,2703
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,"(SMA(MedBodyPrice(DATAFRAME),85).shift(3)<AvgPrice(DATAFRAME).shift(4))&(RSI(CLOSE(DATAFRAME),70).shift(4)>RSI(AvgPrice(DATAFRAME),14).shift(4))",9,history.close,False,2406,2290
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,"(SMA(HIGH(DATAFRAME),10).shift(4)>MedBodyPrice(DATAFRAME).shift(4))&(SMA(HIGH(DATAFRAME),60).shift(4)>SMA(OPEN(DATAFRAME),175).shift(3))",14,history.close,False,3328,3188
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,"(RSI(MedBodyPrice(DATAFRAME),42).shift(1)<RSI(MedPrice(DATAFRAME),154).shift(1))&(SMA(OPEN(DATAFRAME),165).shift(4)<SMA(CLOSE(DATAFRAME),40).shift(3))",8,history.close,False,2808,2375
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,"(RSI(LOW(DATAFRAME),8).shift(1)<RSI(LOW(DATAFRAME),169).shift(4))&(SMA(HIGH(DATAFRAME),165).shift(1)<SMA(HIGH(DATAFRAME),35).shift(2))",12,history.close,False,2812,2554
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,"(RSI(MedPrice(DATAFRAME),16).shift(4)<RSI(MedPrice(DATAFRAME),50).shift(4))&(SMA(AvgPrice(DATAFRAME),115).shift(4)<SMA(LOW(DATAFRAME),65).shift(3))",9,history.close,False,2649,2134
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,"(RSI(CLOSE(DATAFRAME),34).shift(3)>50)&(SMA(HIGH(DATAFRAME),25).shift(4)>SMA(CLOSE(DATAFRAME),10).shift(4))",9,history.close,False,2830,2493
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,"(RSI(CLOSE(DATAFRAME),37).shift(3)<RSI(CLOSE(DATAFRAME),177).shift(2))&(SMA(AvgPrice(DATAFRAME),115).shift(2)<SMA(OPEN(DATAFRAME),105).shift(1))",9,history.close,False,2685,2209
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,"(SMA(AvgPrice(DATAFRAME),5).shift(2)>MedPrice(DATAFRAME).shift(2))&(SMA(CLOSE(DATAFRAME),90).shift(4)<MedPrice(DATAFRAME).shift(1))",18,history.close,False,3399,2974
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,"(SMA(AvgPrice(DATAFRAME),5).shift(2)>MedPrice(DATAFRAME).shift(2))&(SMA(MedPrice(DATAFRAME),40).shift(2)>SMA(AvgPrice(DATAFRAME),95).shift(3))",16,history.close,False,3479,3106
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,"(SMA(CLOSE(DATAFRAME),70).shift(2)<CLOSE(DATAFRAME).shift(1))&(SMA(HIGH(DATAFRAME),15).shift(1)>LOW(DATAFRAME).shift(2))",18,history.close,False,3219,3096
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,"(SMA(HIGH(DATAFRAME),15).shift(1)>LOW(DATAFRAME).shift(2))&(SMA(MedBodyPrice(DATAFRAME),5).shift(4)>SMA(CLOSE(DATAFRAME),165).shift(3))",16,history.close,False,3125,3181
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,"(SMA(LOW(DATAFRAME),110).shift(2)>SMA(CLOSE(DATAFRAME),160).shift(4))&(RSI(MedPrice(DATAFRAME),70).shift(3)>RSI(MedBodyPrice(DATAFRAME),109).shift(4))",5,history.close,False,1906,1596
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,"(SMA(AvgPrice(DATAFRAME),195).shift(1)<SMA(AvgPrice(DATAFRAME),40).shift(2))&(RSI(MedPrice(DATAFRAME),70).shift(3)>RSI(MedBodyPrice(DATAFRAME),109).shift(4))",6,history.close,False,2056,1750
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,"(RSI(AvgPrice(DATAFRAME),84).shift(1)>RSI(AvgPrice(DATAFRAME),56).shift(4))&(SMA(HIGH(DATAFRAME),130).shift(3)<SMA(CLOSE(DATAFRAME),35).shift(3))",10,history.close,False,2701,2468
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,"(SMA(HIGH(DATAFRAME),10).shift(2)>AvgPrice(DATAFRAME).shift(2))&(SMA(AvgPrice(DATAFRAME),55).shift(2)<MedPrice(DATAFRAME).shift(4))",14,history.close,False,2980,2780
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,"(SMA(LOW(DATAFRAME),170).shift(3)<HIGH(DATAFRAME).shift(3))&(SMA(AvgPrice(DATAFRAME),105).shift(3)<SMA(CLOSE(DATAFRAME),95).shift(1))",15,history.close,False,3268,2954
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,"(RSI(HIGH(DATAFRAME),10).shift(2)<RSI(MedPrice(DATAFRAME),57).shift(4))&(SMA(CLOSE(DATAFRAME),70).shift(2)<CLOSE(DATAFRAME).shift(1))",15,history.close,False,3290,3000
0,1000,0.01,CL,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,50,long,market,"(SMA(OPEN(DATAFRAME),90).shift(3)>SMA(AvgPrice(DATAFRAME),105).shift(1))&(RSI(HIGH(DATAFRAME),151).shift(4)<RSI(MedPrice(DATAFRAME),44).shift(3))",16,history.close,False,3482,3270
