,bigpointvalue,tick,file_name,uct_offset,type_session,resample_tf,start_date,end_date,custom_session_start,custom_session_stop,costi,direzione,tipo_ordine,entry_rules,exit_bars,level,ADD_RULE_CONDITION,TP,SL
0,125000,0.0001,EC,CST6CDT,1,60min,2010-01-01,2023-05-01,0720,1400,25,long,market,"(SMA(LOW(DATAFRAME),95).shift(4)>MedBodyPrice(DATAFRAME).shift(3))&(SMA(MedPrice(DATAFRAME),40).shift(3)<MedBodyPrice(DATAFRAME).shift(4))",5,history.close,False,1093,854
0,125000,0.0001,EC,CST6CDT,1,60min,2010-01-01,2023-05-01,0720,1400,25,long,market,"(SMA(MedPrice(DATAFRAME),165).shift(2)>HIGH(DATAFRAME).shift(4))&(RSI(LOW(DATAFRAME),193).shift(2)<RSI(MedPrice(DATAFRAME),40).shift(4))",8,history.close,False,1212,920
0,125000,0.0001,EC,CST6CDT,1,60min,2010-01-01,2023-05-01,0720,1400,25,long,market,"(SMA(AvgPrice(DATAFRAME),95).shift(4)>HIGH(DATAFRAME).shift(4))&(SMA(AvgPrice(DATAFRAME),45).shift(1)<SMA(CLOSE(DATAFRAME),5).shift(3))",6,history.close,False,1165,860
0,125000,0.0001,EC,CST6CDT,1,60min,2010-01-01,2023-05-01,0720,1400,25,long,market,"(RSI(MedBodyPrice(DATAFRAME),113).shift(3)<RSI(HIGH(DATAFRAME),41).shift(4))&(SMA(CLOSE(DATAFRAME),150).shift(3)>SMA(OPEN(DATAFRAME),110).shift(3))",4,history.close,False,932,712
0,125000,0.0001,EC,CST6CDT,1,60min,2010-01-01,2023-05-01,0720,1400,25,long,market,"(SMA(CLOSE(DATAFRAME),105).shift(2)>MedBodyPrice(DATAFRAME).shift(1))&(SMA(AvgPrice(DATAFRAME),45).shift(4)<LOW(DATAFRAME).shift(3))",12,history.close,False,1629,1154
0,125000,0.0001,EC,CST6CDT,1,60min,2010-01-01,2023-05-01,0720,1400,25,long,market,"(SMA(AvgPrice(DATAFRAME),80).shift(3)>OPEN(DATAFRAME).shift(1))&(RSI(OPEN(DATAFRAME),135).shift(4)<RSI(HIGH(DATAFRAME),21).shift(4))",9,history.close,False,1411,1086
0,125000,0.0001,EC,CST6CDT,1,60min,2010-01-01,2023-05-01,0720,1400,25,long,market,"(SMA(LOW(DATAFRAME),150).shift(2)>HIGH(DATAFRAME).shift(2))&(RSI(HIGH(DATAFRAME),19).shift(4)>50)",5,history.close,False,1165,820
0,125000,0.0001,EC,CST6CDT,1,60min,2010-01-01,2023-05-01,0720,1400,25,long,market,"(RSI(HIGH(DATAFRAME),19).shift(4)>50)&(SMA(CLOSE(DATAFRAME),130).shift(3)>SMA(OPEN(DATAFRAME),95).shift(4))",8,history.close,False,1281,1118
0,125000,0.0001,EC,CST6CDT,1,60min,2010-01-01,2023-05-01,0720,1400,25,long,market,"(RSI(OPEN(DATAFRAME),135).shift(4)<RSI(HIGH(DATAFRAME),21).shift(4))&(RSI(OPEN(DATAFRAME),48).shift(1)<50)",8,history.close,False,1281,1068
0,125000,0.0001,EC,CST6CDT,1,60min,2010-01-01,2023-05-01,0720,1400,25,long,market,"(SMA(HIGH(DATAFRAME),45).shift(4)<SMA(HIGH(DATAFRAME),5).shift(4))&(SMA(OPEN(DATAFRAME),150).shift(2)>HIGH(DATAFRAME).shift(4))",15,history.close,False,2043,1356
