,bigpointvalue,tick,file_name,uct_offset,type_session,resample_tf,start_date,end_date,custom_session_start,custom_session_stop,costi,direzione,tipo_ordine,entry_rules,exit_bars,level,ADD_RULE_CONDITION,TP,SL
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(SMA(AvgPrice(DATAFRAME),80).shift(2)>HIGH(DATAFRAME).shift(3))&(Dayofweek(DATAFRAME)<2)",4,history.close,False,2600,2012
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(RSI(CLOSE(DATAFRAME),49).shift(4)<45)&(Dayofweek(DATAFRAME)<3)",4,history.close,False,2458,1998
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(Dayofweek(DATAFRAME)<2)&(SMA(LOW(DATAFRAME),15).shift(2)<SMA(MedPrice(DATAFRAME),35).shift(2))",19,history.close,False,5062,2768
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(Dayofweek(DATAFRAME)<2)&(RSI(LOW(DATAFRAME),23).shift(3)<RSI(HIGH(DATAFRAME),94).shift(2))",11,history.close,False,3652,2503
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(RSI(LOW(DATAFRAME),187).shift(2)<80)&(RSI(HIGH(DATAFRAME),110).shift(4)>RSI(MedPrice(DATAFRAME),166).shift(1))",10,history.close,False,3203,2390
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(Dayofweek(DATAFRAME)<1)&(SMA(AvgPrice(DATAFRAME),5).shift(1)>CLOSE(DATAFRAME).shift(4))",14,history.close,False,3293,2631
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(RSI(LOW(DATAFRAME),77).shift(4)<RSI(MedBodyPrice(DATAFRAME),194).shift(4))&(Dayofweek(DATAFRAME)<3)",16,history.close,False,4058,3147
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(SMA(AvgPrice(DATAFRAME),115).shift(4)<SMA(CLOSE(DATAFRAME),125).shift(4))&(SMA(AvgPrice(DATAFRAME),185).shift(3)<MedPrice(DATAFRAME).shift(1))",4,history.close,False,1487,987
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(RSI(HIGH(DATAFRAME),87).shift(4)<RSI(MedBodyPrice(DATAFRAME),140).shift(4))&(RSI(HIGH(DATAFRAME),134).shift(3)>RSI(OPEN(DATAFRAME),145).shift(4))",6,history.close,False,2865,2387
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(RSI(AvgPrice(DATAFRAME),70).shift(4)<RSI(CLOSE(DATAFRAME),33).shift(4))&(RSI(OPEN(DATAFRAME),45).shift(3)<RSI(CLOSE(DATAFRAME),61).shift(4))",12,history.close,False,3074,2576
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(SMA(MedBodyPrice(DATAFRAME),125).shift(1)>OPEN(DATAFRAME).shift(1))&(RSI(MedBodyPrice(DATAFRAME),91).shift(2)>RSI(HIGH(DATAFRAME),154).shift(4))",14,history.close,False,4300,3462
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(SMA(LOW(DATAFRAME),155).shift(1)>SMA(MedPrice(DATAFRAME),85).shift(1))&(RSI(OPEN(DATAFRAME),150).shift(1)<RSI(MedPrice(DATAFRAME),143).shift(3))",4,history.close,False,2431,2463
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(RSI(HIGH(DATAFRAME),134).shift(3)>RSI(OPEN(DATAFRAME),145).shift(4))&(SMA(LOW(DATAFRAME),10).shift(2)<SMA(AvgPrice(DATAFRAME),55).shift(4))",4,history.close,False,2559,2605
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(RSI(MedBodyPrice(DATAFRAME),91).shift(2)>RSI(HIGH(DATAFRAME),154).shift(4))&(SMA(MedBodyPrice(DATAFRAME),40).shift(1)>MedBodyPrice(DATAFRAME).shift(2))",19,history.close,False,4647,3907
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(RSI(HIGH(DATAFRAME),120).shift(1)<50)&(RSI(MedBodyPrice(DATAFRAME),154).shift(2)>RSI(OPEN(DATAFRAME),176).shift(3))",12,history.close,False,3661,2726
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(RSI(OPEN(DATAFRAME),142).shift(3)<50)&(SMA(LOW(DATAFRAME),35).shift(2)>SMA(MedPrice(DATAFRAME),10).shift(4))",4,history.close,False,2395,2499
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(RSI(MedPrice(DATAFRAME),88).shift(3)<50)&(SMA(MedPrice(DATAFRAME),160).shift(3)<SMA(MedBodyPrice(DATAFRAME),180).shift(1))",4,history.close,False,2650,2235
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(RSI(OPEN(DATAFRAME),80).shift(2)<RSI(MedBodyPrice(DATAFRAME),182).shift(3))&(SMA(MedPrice(DATAFRAME),160).shift(3)<SMA(MedBodyPrice(DATAFRAME),180).shift(1))",4,history.close,False,2030,1839
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(RSI(CLOSE(DATAFRAME),49).shift(4)<45)&(RSI(MedPrice(DATAFRAME),46).shift(1)>RSI(AvgPrice(DATAFRAME),18).shift(4))",4,history.close,False,2443,1865
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(RSI(HIGH(DATAFRAME),180).shift(2)>RSI(HIGH(DATAFRAME),75).shift(1))&(RSI(LOW(DATAFRAME),35).shift(3)<RSI(MedPrice(DATAFRAME),81).shift(1))",14,history.close,False,3837,3188
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(RSI(MedPrice(DATAFRAME),134).shift(2)>RSI(MedPrice(DATAFRAME),34).shift(1))&(RSI(CLOSE(DATAFRAME),13).shift(4)<45)",16,history.close,False,4784,3500
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(RSI(AvgPrice(DATAFRAME),150).shift(3)<RSI(MedBodyPrice(DATAFRAME),109).shift(4))&(RSI(MedBodyPrice(DATAFRAME),48).shift(2)>RSI(CLOSE(DATAFRAME),121).shift(1))",19,history.close,False,4137,2927
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(RSI(MedPrice(DATAFRAME),145).shift(2)<RSI(AvgPrice(DATAFRAME),72).shift(3))&(RSI(AvgPrice(DATAFRAME),78).shift(4)<RSI(MedBodyPrice(DATAFRAME),114).shift(3))",5,history.close,False,2231,1668
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(RSI(OPEN(DATAFRAME),13).shift(1)<40)&(RSI(MedPrice(DATAFRAME),23).shift(3)<RSI(CLOSE(DATAFRAME),21).shift(4))",4,history.close,False,1840,1884
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(RSI(MedPrice(DATAFRAME),46).shift(1)>RSI(AvgPrice(DATAFRAME),18).shift(4))&(RSI(MedBodyPrice(DATAFRAME),8).shift(1)<35)",4,history.close,False,2267,1769
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(RSI(AvgPrice(DATAFRAME),45).shift(3)>RSI(OPEN(DATAFRAME),169).shift(4))&(RSI(OPEN(DATAFRAME),45).shift(3)<RSI(CLOSE(DATAFRAME),61).shift(4))",11,history.close,False,3062,2381
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(RSI(MedPrice(DATAFRAME),169).shift(2)<50)&(RSI(MedBodyPrice(DATAFRAME),129).shift(2)<RSI(MedPrice(DATAFRAME),94).shift(3))",4,history.close,False,2265,1915
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(SMA(LOW(DATAFRAME),35).shift(2)>SMA(MedPrice(DATAFRAME),10).shift(4))&(RSI(CLOSE(DATAFRAME),173).shift(3)>RSI(OPEN(DATAFRAME),124).shift(1))",9,history.close,False,3006,3221
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(RSI(MedBodyPrice(DATAFRAME),120).shift(4)>RSI(OPEN(DATAFRAME),163).shift(2))&(RSI(HIGH(DATAFRAME),134).shift(3)>RSI(OPEN(DATAFRAME),145).shift(4))",8,history.close,False,3353,3310
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(SMA(MedPrice(DATAFRAME),35).shift(3)>SMA(CLOSE(DATAFRAME),130).shift(4))&(SMA(MedPrice(DATAFRAME),105).shift(3)>OPEN(DATAFRAME).shift(2))",4,history.close,False,2141,1663
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(SMA(MedPrice(DATAFRAME),50).shift(1)>SMA(MedBodyPrice(DATAFRAME),30).shift(4))&(SMA(MedPrice(DATAFRAME),55).shift(1)>SMA(LOW(DATAFRAME),100).shift(4))",9,history.close,False,2802,2346
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(SMA(HIGH(DATAFRAME),110).shift(3)<MedPrice(DATAFRAME).shift(3))&(Dayofweek(DATAFRAME)>3)",11,history.close,False,2350,2475
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(Dayofweek(DATAFRAME)>3)&(SMA(LOW(DATAFRAME),15).shift(2)<LOW(DATAFRAME).shift(2))",14,history.close,False,2948,2705
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(RSI(AvgPrice(DATAFRAME),25).shift(2)<40)&(RSI(LOW(DATAFRAME),57).shift(4)>RSI(MedPrice(DATAFRAME),82).shift(2))",4,history.close,False,2340,1856
0,50,0.25,ES,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1500,25,long,market,"(RSI(MedPrice(DATAFRAME),157).shift(1)>RSI(MedPrice(DATAFRAME),41).shift(3))&(RSI(MedBodyPrice(DATAFRAME),8).shift(1)<35)",9,history.close,False,3683,3113
