,bigpointvalue,tick,file_name,uct_offset,type_session,resample_tf,start_date,end_date,custom_session_start,custom_session_stop,costi,direzione,tipo_ordine,entry_rules,exit_bars,level,ADD_RULE_CONDITION,TP,SL
0,100,0.1,GC,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(RSI(AvgPrice(DATAFRAME),172).shift(1)>RSI(AvgPrice(DATAFRAME),106).shift(4))&(RSI(MedBodyPrice(DATAFRAME),122).shift(2)<RSI(LOW(DATAFRAME),118).shift(2))",12,history.close,False,3924,3434
0,100,0.1,GC,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(SMA(MedPrice(DATAFRAME),135).shift(2)>SMA(AvgPrice(DATAFRAME),160).shift(2))&(RSI(CLOSE(DATAFRAME),126).shift(2)>RSI(AvgPrice(DATAFRAME),103).shift(4))",6,history.close,False,2922,2248
0,100,0.1,GC,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(SMA(MedPrice(DATAFRAME),105).shift(4)>SMA(CLOSE(DATAFRAME),80).shift(2))&(SMA(OPEN(DATAFRAME),170).shift(4)>OPEN(DATAFRAME).shift(2))",9,history.close,False,2937,2619
0,100,0.1,GC,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(SMA(MedPrice(DATAFRAME),105).shift(4)>SMA(CLOSE(DATAFRAME),80).shift(2))&(RSI(LOW(DATAFRAME),107).shift(4)>RSI(CLOSE(DATAFRAME),159).shift(3))",14,history.close,False,4001,3130
0,100,0.1,GC,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(RSI(CLOSE(DATAFRAME),184).shift(1)>RSI(MedBodyPrice(DATAFRAME),148).shift(3))&(RSI(OPEN(DATAFRAME),156).shift(1)>RSI(MedBodyPrice(DATAFRAME),103).shift(4))",6,history.close,False,2722,2155
0,100,0.1,GC,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(SMA(MedPrice(DATAFRAME),105).shift(4)>SMA(CLOSE(DATAFRAME),80).shift(2))&(SMA(HIGH(DATAFRAME),30).shift(1)>LOW(DATAFRAME).shift(1))",8,history.close,False,2883,2464
0,100,0.1,GC,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(SMA(CLOSE(DATAFRAME),35).shift(2)<SMA(AvgPrice(DATAFRAME),115).shift(2))&(SMA(MedBodyPrice(DATAFRAME),85).shift(1)>MedPrice(DATAFRAME).shift(1))",8,history.close,False,2992,2532
0,100,0.1,GC,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(RSI(OPEN(DATAFRAME),68).shift(1)<RSI(CLOSE(DATAFRAME),122).shift(3))&(SMA(MedPrice(DATAFRAME),145).shift(2)>OPEN(DATAFRAME).shift(1))",7,history.close,False,2746,2440
0,100,0.1,GC,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(SMA(MedPrice(DATAFRAME),170).shift(2)<SMA(MedPrice(DATAFRAME),105).shift(2))&(RSI(MedPrice(DATAFRAME),91).shift(1)<55)",6,history.close,False,2665,2145
0,100,0.1,GC,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(SMA(AvgPrice(DATAFRAME),20).shift(1)<SMA(MedBodyPrice(DATAFRAME),40).shift(4))&(SMA(MedBodyPrice(DATAFRAME),40).shift(1)<SMA(LOW(DATAFRAME),110).shift(1))",6,history.close,False,2806,2206
0,100,0.1,GC,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(Dayofweek(DATAFRAME)>1)&(SMA(MedPrice(DATAFRAME),105).shift(4)>SMA(CLOSE(DATAFRAME),80).shift(2))",5,history.close,False,2650,2264
0,100,0.1,GC,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(RSI(LOW(DATAFRAME),13).shift(3)<RSI(LOW(DATAFRAME),43).shift(4))&(RSI(MedPrice(DATAFRAME),96).shift(4)<RSI(AvgPrice(DATAFRAME),121).shift(3))",6,history.close,False,2748,2275
0,100,0.1,GC,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(SMA(CLOSE(DATAFRAME),20).shift(3)<OPEN(DATAFRAME).shift(2))&(SMA(CLOSE(DATAFRAME),60).shift(3)>SMA(OPEN(DATAFRAME),195).shift(4))",7,history.close,False,3342,2889
0,100,0.1,GC,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(RSI(OPEN(DATAFRAME),16).shift(1)<RSI(HIGH(DATAFRAME),159).shift(3))&(SMA(HIGH(DATAFRAME),115).shift(2)>CLOSE(DATAFRAME).shift(1))",7,history.close,False,2984,2316
0,100,0.1,GC,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(RSI(MedBodyPrice(DATAFRAME),134).shift(1)<RSI(MedBodyPrice(DATAFRAME),136).shift(1))&(RSI(HIGH(DATAFRAME),172).shift(3)>RSI(HIGH(DATAFRAME),119).shift(2))",7,history.close,False,2817,2359
0,100,0.1,GC,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(SMA(CLOSE(DATAFRAME),5).shift(3)>AvgPrice(DATAFRAME).shift(3))&(RSI(AvgPrice(DATAFRAME),172).shift(1)>RSI(AvgPrice(DATAFRAME),106).shift(4))",6,history.close,False,2723,2173
