,bigpointvalue,tick,file_name,uct_offset,type_session,resample_tf,start_date,end_date,custom_session_start,custom_session_stop,costi,direzione,tipo_ordine,entry_rules,exit_bars,level,ADD_RULE_CONDITION,TP,SL
0,25000,0.05,HG,EST5EDT,1,60min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(RSI(CLOSE(DATAFRAME),80).shift(4)>RSI(LOW(DATAFRAME),83).shift(1))&(RSI(MedBodyPrice(DATAFRAME),96).shift(3)<75)",4,history.close,False,1782,1144
0,25000,0.05,HG,EST5EDT,1,60min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(RSI(OPEN(DATAFRAME),70).shift(4)>40)&(RSI(CLOSE(DATAFRAME),80).shift(2)>RSI(LOW(DATAFRAME),135).shift(3))",5,history.close,False,2148,1321
0,25000,0.05,HG,EST5EDT,1,60min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(RSI(HIGH(DATAFRAME),72).shift(3)>RSI(LOW(DATAFRAME),26).shift(3))&(RSI(OPEN(DATAFRAME),14).shift(4)<70)",5,history.close,False,1600,1309
0,25000,0.05,HG,EST5EDT,1,60min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(SMA(MedPrice(DATAFRAME),40).shift(3)>OPEN(DATAFRAME).shift(3))&(RSI(HIGH(DATAFRAME),72).shift(3)>RSI(LOW(DATAFRAME),26).shift(3))",4,history.close,False,1658,1297
0,25000,0.05,HG,EST5EDT,1,60min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(RSI(CLOSE(DATAFRAME),108).shift(1)>RSI(MedPrice(DATAFRAME),5).shift(2))&(RSI(CLOSE(DATAFRAME),50).shift(3)>RSI(AvgPrice(DATAFRAME),193).shift(1))",22,history.close,False,3294,2654
0,25000,0.05,HG,EST5EDT,1,60min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(SMA(AvgPrice(DATAFRAME),75).shift(2)<SMA(MedBodyPrice(DATAFRAME),20).shift(1))&(SMA(CLOSE(DATAFRAME),145).shift(2)>SMA(CLOSE(DATAFRAME),120).shift(3))",11,history.close,False,1949,1873
0,25000,0.05,HG,EST5EDT,1,60min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(RSI(OPEN(DATAFRAME),173).shift(4)>RSI(HIGH(DATAFRAME),137).shift(3))&(SMA(HIGH(DATAFRAME),50).shift(1)>SMA(HIGH(DATAFRAME),170).shift(2))",22,history.close,False,3444,2689
0,25000,0.05,HG,EST5EDT,1,60min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(RSI(CLOSE(DATAFRAME),50).shift(3)>RSI(AvgPrice(DATAFRAME),193).shift(1))&(SMA(AvgPrice(DATAFRAME),100).shift(4)<SMA(MedPrice(DATAFRAME),85).shift(4))",11,history.close,False,2487,1843
0,25000,0.05,HG,EST5EDT,1,60min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(SMA(OPEN(DATAFRAME),20).shift(2)>CLOSE(DATAFRAME).shift(2))&(RSI(MedBodyPrice(DATAFRAME),144).shift(4)<RSI(CLOSE(DATAFRAME),72).shift(4))",14,history.close,False,2417,2217
0,25000,0.05,HG,EST5EDT,1,60min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(SMA(LOW(DATAFRAME),165).shift(4)<SMA(MedPrice(DATAFRAME),190).shift(1))&(RSI(LOW(DATAFRAME),102).shift(4)<RSI(OPEN(DATAFRAME),91).shift(1))",4,history.close,False,1597,1177
0,25000,0.05,HG,EST5EDT,1,60min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(RSI(MedPrice(DATAFRAME),84).shift(4)<RSI(MedBodyPrice(DATAFRAME),53).shift(3))&(RSI(MedPrice(DATAFRAME),46).shift(1)<RSI(MedPrice(DATAFRAME),92).shift(2))",18,history.close,False,3022,2480
0,25000,0.05,HG,EST5EDT,1,60min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(SMA(LOW(DATAFRAME),185).shift(2)<SMA(OPEN(DATAFRAME),55).shift(4))&(RSI(CLOSE(DATAFRAME),39).shift(1)>RSI(MedPrice(DATAFRAME),77).shift(3))",11,history.close,False,2656,1703
0,25000,0.05,HG,EST5EDT,1,60min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(RSI(HIGH(DATAFRAME),18).shift(2)>RSI(CLOSE(DATAFRAME),166).shift(4))&(SMA(AvgPrice(DATAFRAME),65).shift(1)<AvgPrice(DATAFRAME).shift(1))",18,history.close,False,2804,2262
0,25000,0.05,HG,EST5EDT,1,60min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(RSI(CLOSE(DATAFRAME),128).shift(2)>RSI(MedPrice(DATAFRAME),143).shift(3))&(RSI(OPEN(DATAFRAME),14).shift(4)<50)",9,history.close,False,2178,1765
0,25000,0.05,HG,EST5EDT,1,60min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(RSI(CLOSE(DATAFRAME),128).shift(2)>RSI(MedPrice(DATAFRAME),143).shift(3))&(RSI(CLOSE(DATAFRAME),123).shift(3)<50)",6,history.close,False,1839,1312
0,25000,0.05,HG,EST5EDT,1,60min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(SMA(MedPrice(DATAFRAME),50).shift(4)>CLOSE(DATAFRAME).shift(1))&(RSI(CLOSE(DATAFRAME),128).shift(2)>RSI(MedPrice(DATAFRAME),143).shift(3))",6,history.close,False,1613,1303
0,25000,0.05,HG,EST5EDT,1,60min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(SMA(MedPrice(DATAFRAME),125).shift(2)>CLOSE(DATAFRAME).shift(4))&(RSI(CLOSE(DATAFRAME),128).shift(2)>RSI(MedPrice(DATAFRAME),143).shift(3))",8,history.close,False,2087,1312
0,25000,0.05,HG,EST5EDT,1,60min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(SMA(MedBodyPrice(DATAFRAME),160).shift(2)>OPEN(DATAFRAME).shift(3))&(RSI(CLOSE(DATAFRAME),128).shift(2)>RSI(MedPrice(DATAFRAME),143).shift(3))",7,history.close,False,2100,1275
0,25000,0.05,HG,EST5EDT,1,60min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(RSI(MedPrice(DATAFRAME),45).shift(2)>RSI(AvgPrice(DATAFRAME),192).shift(2))&(SMA(HIGH(DATAFRAME),50).shift(1)>SMA(HIGH(DATAFRAME),170).shift(2))",11,history.close,False,2370,1772
0,25000,0.05,HG,EST5EDT,1,60min,2010-01-01,2023-05-01,0800,1500,60,long,market,"(SMA(MedBodyPrice(DATAFRAME),120).shift(3)<SMA(MedBodyPrice(DATAFRAME),150).shift(4))&(RSI(LOW(DATAFRAME),152).shift(3)<RSI(CLOSE(DATAFRAME),37).shift(1))",7,history.close,False,1975,1387
