,bigpointvalue,tick,file_name,uct_offset,type_session,resample_tf,start_date,end_date,custom_session_start,custom_session_stop,costi,direzione,tipo_ordine,entry_rules,exit_bars,level,ADD_RULE_CONDITION,TP,SL
0,42000,0.0001,HO,EST5EDT,1,120min,2010-01-01,2023-05-01,0900,1430,70,long,market,"(Hour(DATAFRAME)<16)&(RSI(MedPrice(DATAFRAME),53).shift(1)>RSI(CLOSE(DATAFRAME),7).shift(4))",9,history.close,False,5176,4431
0,42000,0.0001,HO,EST5EDT,1,120min,2010-01-01,2023-05-01,0900,1430,70,long,market,"(RSI(MedPrice(DATAFRAME),136).shift(2)>40)&(RSI(AvgPrice(DATAFRAME),194).shift(1)>RSI(MedBodyPrice(DATAFRAME),71).shift(2))",7,history.close,False,4571,3757
0,42000,0.0001,HO,EST5EDT,1,120min,2010-01-01,2023-05-01,0900,1430,70,long,market,"(RSI(MedPrice(DATAFRAME),109).shift(1)>25)&(RSI(CLOSE(DATAFRAME),75).shift(1)<RSI(CLOSE(DATAFRAME),87).shift(1))",9,history.close,False,5118,4950
0,42000,0.0001,HO,EST5EDT,1,120min,2010-01-01,2023-05-01,0900,1430,70,long,market,"(RSI(CLOSE(DATAFRAME),33).shift(4)<RSI(LOW(DATAFRAME),30).shift(4))&(RSI(MedBodyPrice(DATAFRAME),100).shift(4)>30)",10,history.close,False,4886,4740
0,42000,0.0001,HO,EST5EDT,1,120min,2010-01-01,2023-05-01,0900,1430,70,long,market,"(Hour(DATAFRAME)>1)&(RSI(MedBodyPrice(DATAFRAME),58).shift(2)<RSI(OPEN(DATAFRAME),145).shift(4))",6,history.close,False,3762,3510
0,42000,0.0001,HO,EST5EDT,1,120min,2010-01-01,2023-05-01,0900,1430,70,long,market,"(RSI(LOW(DATAFRAME),32).shift(4)>5)&(RSI(CLOSE(DATAFRAME),133).shift(4)>5)",18,history.close,False,6673,6344
0,42000,0.0001,HO,EST5EDT,1,120min,2010-01-01,2023-05-01,0900,1430,70,long,market,"(RSI(CLOSE(DATAFRAME),12).shift(4)<RSI(OPEN(DATAFRAME),192).shift(4))&(RSI(MedPrice(DATAFRAME),147).shift(1)>45)",8,history.close,False,5335,4315
0,42000,0.0001,HO,EST5EDT,1,120min,2010-01-01,2023-05-01,0900,1430,70,long,market,"(RSI(HIGH(DATAFRAME),34).shift(2)>25)&(RSI(MedBodyPrice(DATAFRAME),68).shift(4)<RSI(LOW(DATAFRAME),149).shift(3))",7,history.close,False,4041,3422
0,42000,0.0001,HO,EST5EDT,1,120min,2010-01-01,2023-05-01,0900,1430,70,long,market,"(RSI(AvgPrice(DATAFRAME),128).shift(2)>10)&(RSI(LOW(DATAFRAME),140).shift(3)>RSI(MedBodyPrice(DATAFRAME),138).shift(1))",13,history.close,False,5905,5380
0,42000,0.0001,HO,EST5EDT,1,120min,2010-01-01,2023-05-01,0900,1430,70,long,market,"(RSI(AvgPrice(DATAFRAME),76).shift(2)>35)&(RSI(OPEN(DATAFRAME),77).shift(4)<85)",13,history.close,False,5689,5625
