,bigpointvalue,tick,file_name,uct_offset,type_session,resample_tf,start_date,end_date,custom_session_start,custom_session_stop,costi,direzione,tipo_ordine,entry_rules,exit_bars,level,ADD_RULE_CONDITION,TP,SL
0,20,0.25,NQ,CST6CDT,1,120min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(RSI(LOW(DATAFRAME),199).shift(3)<RSI(OPEN(DATAFRAME),169).shift(3))&(RSI(MedPrice(DATAFRAME),78).shift(3)>30)",5,history.close,False,5893,4609
0,20,0.25,NQ,CST6CDT,1,120min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(RSI(CLOSE(DATAFRAME),56).shift(2)>RSI(AvgPrice(DATAFRAME),113).shift(2))&(Dayofweek(DATAFRAME)<2)",12,history.close,False,6518,5617
0,20,0.25,NQ,CST6CDT,1,120min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(Dayofweek(DATAFRAME)<2)&(RSI(CLOSE(DATAFRAME),19).shift(2)<50)",8,history.close,False,6358,2751
0,20,0.25,NQ,CST6CDT,1,120min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(Dayofweek(DATAFRAME)<2)&(RSI(OPEN(DATAFRAME),94).shift(4)>RSI(MedBodyPrice(DATAFRAME),58).shift(3))",12,history.close,False,6316,5513
0,20,0.25,NQ,CST6CDT,1,120min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(RSI(AvgPrice(DATAFRAME),5).shift(2)<RSI(AvgPrice(DATAFRAME),5).shift(4))&(Dayofweek(DATAFRAME)<1)",6,history.close,False,4961,3124
0,20,0.25,NQ,CST6CDT,1,120min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(RSI(HIGH(DATAFRAME),36).shift(4)<RSI(MedPrice(DATAFRAME),110).shift(2))&(RSI(AvgPrice(DATAFRAME),194).shift(2)<RSI(MedPrice(DATAFRAME),66).shift(4))",17,history.close,False,8576,4594
0,20,0.25,NQ,CST6CDT,1,120min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(RSI(MedBodyPrice(DATAFRAME),21).shift(1)<55)&(SMA(AvgPrice(DATAFRAME),15).shift(3)>SMA(HIGH(DATAFRAME),35).shift(2))",9,history.close,False,6545,4907
0,20,0.25,NQ,CST6CDT,1,120min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(RSI(LOW(DATAFRAME),174).shift(3)<RSI(OPEN(DATAFRAME),151).shift(2))&(RSI(MedBodyPrice(DATAFRAME),186).shift(4)>RSI(MedPrice(DATAFRAME),179).shift(3))",4,history.close,False,5138,3296
0,20,0.25,NQ,CST6CDT,1,120min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(RSI(HIGH(DATAFRAME),36).shift(4)<RSI(MedPrice(DATAFRAME),110).shift(2))&(RSI(HIGH(DATAFRAME),70).shift(2)>RSI(CLOSE(DATAFRAME),137).shift(4))",5,history.close,False,4558,4016
0,20,0.25,NQ,CST6CDT,1,120min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(RSI(MedPrice(DATAFRAME),149).shift(3)>RSI(CLOSE(DATAFRAME),13).shift(4))&(SMA(CLOSE(DATAFRAME),145).shift(4)<SMA(MedBodyPrice(DATAFRAME),185).shift(4))",5,history.close,False,6709,4502
0,20,0.25,NQ,CST6CDT,1,120min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(SMA(LOW(DATAFRAME),20).shift(4)>OPEN(DATAFRAME).shift(3))&(RSI(MedPrice(DATAFRAME),101).shift(3)<RSI(MedPrice(DATAFRAME),5).shift(4))",11,history.close,False,8669,7453
0,20,0.25,NQ,CST6CDT,1,120min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(SMA(HIGH(DATAFRAME),50).shift(2)>SMA(OPEN(DATAFRAME),60).shift(2))&(RSI(HIGH(DATAFRAME),178).shift(4)>RSI(CLOSE(DATAFRAME),42).shift(1))",16,history.close,False,8745,6135
0,20,0.25,NQ,CST6CDT,1,120min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(RSI(AvgPrice(DATAFRAME),132).shift(4)>RSI(MedPrice(DATAFRAME),167).shift(3))&(SMA(OPEN(DATAFRAME),195).shift(3)>SMA(CLOSE(DATAFRAME),155).shift(2))",6,history.close,False,6667,4558
