,bigpointvalue,tick,file_name,uct_offset,type_session,resample_tf,start_date,end_date,custom_session_start,custom_session_stop,costi,direzione,tipo_ordine,entry_rules,exit_bars,level,ADD_RULE_CONDITION,TP,SL
0,20,0.25,NQ,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(RSI(MedPrice(DATAFRAME),11).shift(1)>80)&(SMA(CLOSE(DATAFRAME),70).shift(2)<OPEN(DATAFRAME).shift(4))",4,history.close,False,2153,1918
0,20,0.25,NQ,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(SMA(MedPrice(DATAFRAME),15).shift(2)>CLOSE(DATAFRAME).shift(2))&(Dayofweek(DATAFRAME)<1)",19,history.close,False,7976,5126
0,20,0.25,NQ,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(Dayofweek(DATAFRAME)<2)&(RSI(HIGH(DATAFRAME),139).shift(1)>RSI(MedPrice(DATAFRAME),17).shift(3))",10,history.close,False,5167,3885
0,20,0.25,NQ,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(Dayofweek(DATAFRAME)<2)&(RSI(AvgPrice(DATAFRAME),155).shift(1)<RSI(AvgPrice(DATAFRAME),126).shift(1))",11,history.close,False,5462,3782
0,20,0.25,NQ,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(SMA(MedPrice(DATAFRAME),75).shift(4)>SMA(OPEN(DATAFRAME),85).shift(1))&(RSI(AvgPrice(DATAFRAME),104).shift(1)<RSI(MedPrice(DATAFRAME),188).shift(2))",8,history.close,False,4003,3422
0,20,0.25,NQ,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(RSI(MedPrice(DATAFRAME),170).shift(4)>RSI(LOW(DATAFRAME),123).shift(1))&(RSI(AvgPrice(DATAFRAME),93).shift(4)>RSI(CLOSE(DATAFRAME),149).shift(3))",8,history.close,False,4931,3172
0,20,0.25,NQ,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(SMA(CLOSE(DATAFRAME),105).shift(1)>SMA(OPEN(DATAFRAME),190).shift(4))&(RSI(MedPrice(DATAFRAME),34).shift(4)<50)",9,history.close,False,4307,3643
0,20,0.25,NQ,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(SMA(LOW(DATAFRAME),90).shift(3)>SMA(MedPrice(DATAFRAME),180).shift(3))&(RSI(MedBodyPrice(DATAFRAME),73).shift(2)<RSI(LOW(DATAFRAME),61).shift(2))",15,history.close,False,4484,3335
0,20,0.25,NQ,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(RSI(MedBodyPrice(DATAFRAME),20).shift(1)<RSI(OPEN(DATAFRAME),57).shift(2))&(RSI(MedBodyPrice(DATAFRAME),25).shift(1)>55)",11,history.close,False,3985,3945
0,20,0.25,NQ,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(SMA(MedPrice(DATAFRAME),65).shift(4)>HIGH(DATAFRAME).shift(3))&(Dayofweek(DATAFRAME)<2)",4,history.close,False,4129,2898
0,20,0.25,NQ,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(SMA(LOW(DATAFRAME),5).shift(1)>CLOSE(DATAFRAME).shift(2))&(Dayofweek(DATAFRAME)<2)",13,history.close,False,5138,3508
0,20,0.25,NQ,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(RSI(CLOSE(DATAFRAME),66).shift(1)>RSI(MedBodyPrice(DATAFRAME),78).shift(4))&(RSI(MedBodyPrice(DATAFRAME),90).shift(2)>RSI(MedPrice(DATAFRAME),186).shift(4))",9,history.close,False,4600,3756
0,20,0.25,NQ,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(RSI(MedBodyPrice(DATAFRAME),127).shift(4)>RSI(CLOSE(DATAFRAME),71).shift(1))&(SMA(MedBodyPrice(DATAFRAME),165).shift(4)<AvgPrice(DATAFRAME).shift(2))",23,history.close,False,6670,4697
0,20,0.25,NQ,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(RSI(MedPrice(DATAFRAME),120).shift(2)>RSI(CLOSE(DATAFRAME),156).shift(1))&(SMA(LOW(DATAFRAME),25).shift(4)>AvgPrice(DATAFRAME).shift(4))",15,history.close,False,7168,4845
0,20,0.25,NQ,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(RSI(MedPrice(DATAFRAME),108).shift(2)>RSI(AvgPrice(DATAFRAME),99).shift(4))&(SMA(LOW(DATAFRAME),90).shift(3)>SMA(MedPrice(DATAFRAME),180).shift(3))",15,history.close,False,4638,3299
0,20,0.25,NQ,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(RSI(MedBodyPrice(DATAFRAME),65).shift(3)<45)&(RSI(MedBodyPrice(DATAFRAME),12).shift(2)<RSI(AvgPrice(DATAFRAME),110).shift(4))",4,history.close,False,4310,3685
0,20,0.25,NQ,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(RSI(MedPrice(DATAFRAME),187).shift(4)>RSI(CLOSE(DATAFRAME),97).shift(4))&(Dayofweek(DATAFRAME)>3)",23,history.close,False,6622,4726
0,20,0.25,NQ,CST6CDT,1,60min,2010-01-01,2023-05-01,0830,1515,30,long,market,"(RSI(HIGH(DATAFRAME),84).shift(4)<RSI(AvgPrice(DATAFRAME),194).shift(4))&(RSI(OPEN(DATAFRAME),143).shift(2)<RSI(HIGH(DATAFRAME),103).shift(4))",11,history.close,False,5312,3780
