,bigpointvalue,tick,file_name,uct_offset,type_session,resample_tf,start_date,end_date,custom_session_start,custom_session_stop,costi,direzione,tipo_ordine,entry_rules,exit_bars,level,ADD_RULE_CONDITION,TP,SL
0,42000,0.0001,RB,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,70,long,market,"(SMA(CLOSE(DATAFRAME),70).shift(2)>SMA(LOW(DATAFRAME),140).shift(4))&(RSI(CLOSE(DATAFRAME),87).shift(1)>RSI(OPEN(DATAFRAME),76).shift(1))",10,history.close,False,4023,3170
0,42000,0.0001,RB,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,70,long,market,"(SMA(CLOSE(DATAFRAME),70).shift(2)>SMA(LOW(DATAFRAME),140).shift(4))&(SMA(LOW(DATAFRAME),125).shift(3)<SMA(MedPrice(DATAFRAME),130).shift(3))",23,history.close,False,5568,4521
0,42000,0.0001,RB,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,70,long,market,"(RSI(AvgPrice(DATAFRAME),78).shift(1)>RSI(MedBodyPrice(DATAFRAME),123).shift(1))&(SMA(OPEN(DATAFRAME),140).shift(3)<SMA(LOW(DATAFRAME),65).shift(1))",8,history.close,False,3421,2733
0,42000,0.0001,RB,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,70,long,market,"(SMA(CLOSE(DATAFRAME),110).shift(3)<OPEN(DATAFRAME).shift(4))&(RSI(MedPrice(DATAFRAME),93).shift(4)<RSI(MedBodyPrice(DATAFRAME),126).shift(3))",9,history.close,False,4108,3049
0,42000,0.0001,RB,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,70,long,market,"(SMA(AvgPrice(DATAFRAME),75).shift(1)>SMA(MedPrice(DATAFRAME),95).shift(1))&(RSI(MedPrice(DATAFRAME),93).shift(4)<RSI(MedBodyPrice(DATAFRAME),126).shift(3))",8,history.close,False,3781,3058
0,42000,0.0001,RB,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,70,long,market,"(SMA(HIGH(DATAFRAME),45).shift(3)>SMA(AvgPrice(DATAFRAME),175).shift(2))&(RSI(MedPrice(DATAFRAME),93).shift(4)<RSI(MedBodyPrice(DATAFRAME),126).shift(3))",12,history.close,False,4796,2985
0,42000,0.0001,RB,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,70,long,market,"(SMA(AvgPrice(DATAFRAME),20).shift(1)<CLOSE(DATAFRAME).shift(1))&(SMA(OPEN(DATAFRAME),115).shift(3)>SMA(HIGH(DATAFRAME),175).shift(1))",13,history.close,False,3683,3600
0,42000,0.0001,RB,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,70,long,market,"(RSI(CLOSE(DATAFRAME),99).shift(4)>RSI(OPEN(DATAFRAME),79).shift(1))&(SMA(OPEN(DATAFRAME),150).shift(4)<HIGH(DATAFRAME).shift(1))",13,history.close,False,3945,3684
0,42000,0.0001,RB,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,70,long,market,"(SMA(CLOSE(DATAFRAME),50).shift(4)<HIGH(DATAFRAME).shift(2))&(RSI(LOW(DATAFRAME),11).shift(4)<RSI(OPEN(DATAFRAME),107).shift(4))",9,history.close,False,3277,2978
0,42000,0.0001,RB,EST5EDT,1,60min,2010-01-01,2023-05-01,0900,1430,70,long,market,"(RSI(MedPrice(DATAFRAME),35).shift(3)<RSI(HIGH(DATAFRAME),81).shift(2))&(SMA(MedBodyPrice(DATAFRAME),120).shift(2)>SMA(AvgPrice(DATAFRAME),125).shift(4))",9,history.close,False,3789,3357
