,bigpointvalue,tick,file_name,uct_offset,type_session,resample_tf,start_date,end_date,custom_session_start,custom_session_stop,costi,direzione,tipo_ordine,entry_rules,exit_bars,level,ADD_RULE_CONDITION,TP,SL
0,50,0.25,S,CST6CDT,1,240min,2010-01-01,2023-05-01,0830,1315,30,long,market,"(SMA(OPEN(DATAFRAME),110).shift(1)>AvgPrice(DATAFRAME).shift(4))&(RSI(CLOSE(DATAFRAME),79).shift(2)<25)",13,history.close,False,2407,1945
0,50,0.25,S,CST6CDT,1,240min,2010-01-01,2023-05-01,0830,1315,30,long,market,"(RSI(MedPrice(DATAFRAME),11).shift(3)>80)&(RSI(CLOSE(DATAFRAME),98).shift(4)>RSI(LOW(DATAFRAME),158).shift(1))",17,history.close,False,3447,2747
0,50,0.25,S,CST6CDT,1,240min,2010-01-01,2023-05-01,0830,1315,30,long,market,"(RSI(HIGH(DATAFRAME),196).shift(4)<RSI(LOW(DATAFRAME),19).shift(2))&(RSI(MedBodyPrice(DATAFRAME),69).shift(3)>RSI(LOW(DATAFRAME),79).shift(3))",11,history.close,False,2492,1937
0,50,0.25,S,CST6CDT,1,240min,2010-01-01,2023-05-01,0830,1315,30,long,market,"(SMA(OPEN(DATAFRAME),80).shift(2)>MedBodyPrice(DATAFRAME).shift(3))&(SMA(AvgPrice(DATAFRAME),140).shift(4)>HIGH(DATAFRAME).shift(2))",9,history.close,False,2994,1664
0,50,0.25,S,CST6CDT,1,240min,2010-01-01,2023-05-01,0830,1315,30,long,market,"(RSI(MedBodyPrice(DATAFRAME),146).shift(4)>RSI(AvgPrice(DATAFRAME),124).shift(1))&(RSI(LOW(DATAFRAME),103).shift(3)<RSI(HIGH(DATAFRAME),144).shift(3))",20,history.close,False,2848,2252
0,50,0.25,S,CST6CDT,1,240min,2010-01-01,2023-05-01,0830,1315,30,long,market,"(RSI(CLOSE(DATAFRAME),79).shift(2)<25)&(SMA(AvgPrice(DATAFRAME),90).shift(2)<SMA(AvgPrice(DATAFRAME),50).shift(2))",14,history.close,False,2613,1906
0,50,0.25,S,CST6CDT,1,240min,2010-01-01,2023-05-01,0830,1315,30,long,market,"(RSI(MedBodyPrice(DATAFRAME),40).shift(2)<40)&(SMA(AvgPrice(DATAFRAME),80).shift(1)>CLOSE(DATAFRAME).shift(1))",5,history.close,False,1695,1316
0,50,0.25,S,CST6CDT,1,240min,2010-01-01,2023-05-01,0830,1315,30,long,market,"(RSI(CLOSE(DATAFRAME),43).shift(1)<RSI(MedBodyPrice(DATAFRAME),78).shift(1))&(RSI(OPEN(DATAFRAME),106).shift(1)<RSI(MedPrice(DATAFRAME),175).shift(2))",6,history.close,False,2171,1612
0,50,0.25,S,CST6CDT,1,240min,2010-01-01,2023-05-01,0830,1315,30,long,market,"(RSI(HIGH(DATAFRAME),99).shift(3)<RSI(HIGH(DATAFRAME),146).shift(1))&(RSI(HIGH(DATAFRAME),161).shift(3)<60)",6,history.close,False,2432,1425
0,50,0.25,S,CST6CDT,1,240min,2010-01-01,2023-05-01,0830,1315,30,long,market,"(SMA(OPEN(DATAFRAME),15).shift(3)>SMA(AvgPrice(DATAFRAME),170).shift(1))&(SMA(AvgPrice(DATAFRAME),195).shift(4)>SMA(CLOSE(DATAFRAME),175).shift(3))",6,history.close,False,1935,1550
0,50,0.25,S,CST6CDT,1,240min,2010-01-01,2023-05-01,0830,1315,30,long,market,"(RSI(MedPrice(DATAFRAME),152).shift(2)>RSI(AvgPrice(DATAFRAME),64).shift(4))&(RSI(CLOSE(DATAFRAME),191).shift(2)<RSI(AvgPrice(DATAFRAME),154).shift(2))",12,history.close,False,3231,2125
0,50,0.25,S,CST6CDT,1,240min,2010-01-01,2023-05-01,0830,1315,30,long,market,"(RSI(AvgPrice(DATAFRAME),9).shift(4)<RSI(LOW(DATAFRAME),145).shift(3))&(SMA(AvgPrice(DATAFRAME),185).shift(1)<MedBodyPrice(DATAFRAME).shift(1))",10,history.close,False,2806,1838
0,50,0.25,S,CST6CDT,1,240min,2010-01-01,2023-05-01,0830,1315,30,long,market,"(RSI(MedPrice(DATAFRAME),40).shift(1)<RSI(AvgPrice(DATAFRAME),98).shift(2))&(SMA(MedPrice(DATAFRAME),50).shift(4)>SMA(AvgPrice(DATAFRAME),145).shift(3))",11,history.close,False,2250,1870
0,50,0.25,S,CST6CDT,1,240min,2010-01-01,2023-05-01,0830,1315,30,long,market,"(SMA(AvgPrice(DATAFRAME),105).shift(4)>SMA(AvgPrice(DATAFRAME),60).shift(3))&(SMA(MedPrice(DATAFRAME),130).shift(3)<AvgPrice(DATAFRAME).shift(1))",7,history.close,False,2834,1387
0,50,0.25,S,CST6CDT,1,240min,2010-01-01,2023-05-01,0830,1315,30,long,market,"(SMA(AvgPrice(DATAFRAME),25).shift(4)>CLOSE(DATAFRAME).shift(1))&(SMA(MedBodyPrice(DATAFRAME),120).shift(2)>HIGH(DATAFRAME).shift(1))",9,history.close,False,2931,1895
