,bigpointvalue,tick,file_name,uct_offset,type_session,resample_tf,start_date,end_date,custom_session_start,custom_session_stop,costi,direzione,tipo_ordine,entry_rules,exit_bars,level,ADD_RULE_CONDITION,TP,SL
0,5000,0.1,SI,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,80,long,market,"(RSI(CLOSE(DATAFRAME),13).shift(2)>RSI(LOW(DATAFRAME),175).shift(4))&(RSI(LOW(DATAFRAME),198).shift(1)>RSI(CLOSE(DATAFRAME),156).shift(2))",8,history.close,False,3479,3377
0,5000,0.1,SI,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,80,long,market,"(RSI(CLOSE(DATAFRAME),172).shift(1)>10)&(RSI(MedPrice(DATAFRAME),107).shift(3)<RSI(OPEN(DATAFRAME),158).shift(1))",13,history.close,False,4356,4217
0,5000,0.1,SI,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,80,long,market,"(SMA(HIGH(DATAFRAME),20).shift(4)<MedPrice(DATAFRAME).shift(3))&(RSI(CLOSE(DATAFRAME),160).shift(4)<95)",22,history.close,False,6268,5706
0,5000,0.1,SI,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,80,long,market,"(SMA(CLOSE(DATAFRAME),15).shift(4)>SMA(MedPrice(DATAFRAME),15).shift(4))&(SMA(LOW(DATAFRAME),95).shift(1)>LOW(DATAFRAME).shift(2))",6,history.close,False,3238,2475
0,5000,0.1,SI,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,80,long,market,"(SMA(CLOSE(DATAFRAME),15).shift(4)<MedBodyPrice(DATAFRAME).shift(1))&(SMA(HIGH(DATAFRAME),100).shift(3)>MedBodyPrice(DATAFRAME).shift(1))",6,history.close,False,2762,2239
0,5000,0.1,SI,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,80,long,market,"(RSI(AvgPrice(DATAFRAME),124).shift(3)<RSI(AvgPrice(DATAFRAME),5).shift(1))&(SMA(LOW(DATAFRAME),80).shift(4)>SMA(MedPrice(DATAFRAME),30).shift(2))",7,history.close,False,3175,2308
0,5000,0.1,SI,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,80,long,market,"(Dayofweek(DATAFRAME)>2)&(RSI(CLOSE(DATAFRAME),71).shift(2)<RSI(OPEN(DATAFRAME),114).shift(3))",6,history.close,False,3166,2446
0,5000,0.1,SI,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,80,long,market,"(SMA(LOW(DATAFRAME),170).shift(1)<MedBodyPrice(DATAFRAME).shift(3))&(RSI(CLOSE(DATAFRAME),182).shift(1)<RSI(CLOSE(DATAFRAME),161).shift(3))",6,history.close,False,3625,3120
0,5000,0.1,SI,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,80,long,market,"(SMA(LOW(DATAFRAME),160).shift(1)>HIGH(DATAFRAME).shift(4))&(RSI(MedPrice(DATAFRAME),92).shift(3)>RSI(MedPrice(DATAFRAME),71).shift(3))",7,history.close,False,3272,2857
0,5000,0.1,SI,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,80,long,market,"(RSI(MedBodyPrice(DATAFRAME),188).shift(4)>RSI(MedBodyPrice(DATAFRAME),138).shift(3))&(SMA(OPEN(DATAFRAME),145).shift(4)>SMA(AvgPrice(DATAFRAME),35).shift(1))",7,history.close,False,3518,2660
0,5000,0.1,SI,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,80,long,market,"(SMA(AvgPrice(DATAFRAME),50).shift(1)<SMA(OPEN(DATAFRAME),160).shift(2))&(RSI(CLOSE(DATAFRAME),153).shift(3)<RSI(CLOSE(DATAFRAME),162).shift(2))",7,history.close,False,3382,2957
0,5000,0.1,SI,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,80,long,market,"(RSI(CLOSE(DATAFRAME),182).shift(1)<RSI(CLOSE(DATAFRAME),161).shift(3))&(SMA(MedBodyPrice(DATAFRAME),170).shift(2)<CLOSE(DATAFRAME).shift(1))",6,history.close,False,3628,3057
0,5000,0.1,SI,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,80,long,market,"(RSI(CLOSE(DATAFRAME),153).shift(3)<RSI(CLOSE(DATAFRAME),162).shift(2))&(RSI(AvgPrice(DATAFRAME),87).shift(1)>RSI(OPEN(DATAFRAME),120).shift(3))",13,history.close,False,5219,4209
0,5000,0.1,SI,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,80,long,market,"(RSI(MedBodyPrice(DATAFRAME),132).shift(1)<RSI(LOW(DATAFRAME),34).shift(1))&(SMA(HIGH(DATAFRAME),50).shift(1)<SMA(MedBodyPrice(DATAFRAME),30).shift(1))",10,history.close,False,4643,4096
0,5000,0.1,SI,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,80,long,market,"(RSI(CLOSE(DATAFRAME),182).shift(1)<RSI(CLOSE(DATAFRAME),161).shift(3))&(RSI(MedPrice(DATAFRAME),5).shift(4)<RSI(AvgPrice(DATAFRAME),85).shift(1))",8,history.close,False,4124,3409
0,5000,0.1,SI,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,80,long,market,"(RSI(CLOSE(DATAFRAME),98).shift(3)<RSI(AvgPrice(DATAFRAME),192).shift(1))&(SMA(LOW(DATAFRAME),95).shift(1)<SMA(LOW(DATAFRAME),110).shift(3))",11,history.close,False,4478,2999
0,5000,0.1,SI,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,80,long,market,"(RSI(CLOSE(DATAFRAME),103).shift(1)<RSI(OPEN(DATAFRAME),100).shift(4))&(SMA(MedPrice(DATAFRAME),165).shift(4)<SMA(MedPrice(DATAFRAME),110).shift(3))",9,history.close,False,4946,3838
0,5000,0.1,SI,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,80,long,market,"(RSI(MedBodyPrice(DATAFRAME),105).shift(1)<RSI(MedBodyPrice(DATAFRAME),179).shift(4))&(SMA(CLOSE(DATAFRAME),145).shift(2)>SMA(LOW(DATAFRAME),60).shift(3))",11,history.close,False,4118,2962
0,5000,0.1,SI,EST5EDT,1,120min,2010-01-01,2023-05-01,0800,1500,80,long,market,"(SMA(LOW(DATAFRAME),145).shift(3)>AvgPrice(DATAFRAME).shift(2))&(RSI(MedPrice(DATAFRAME),193).shift(1)>RSI(CLOSE(DATAFRAME),138).shift(3))",11,history.close,False,4064,3620
