,bigpointvalue,tick,file_name,uct_offset,type_session,resample_tf,start_date,end_date,custom_session_start,custom_session_stop,costi,direzione,tipo_ordine,entry_rules,exit_bars,level,ADD_RULE_CONDITION,TP,SL
0,1000,0.015625,US,CST6CDT,1,60min,2010-01-01,2023-05-01,0720,1400,60,long,market,"(RSI(LOW(DATAFRAME),88).shift(3)<85)&(SMA(HIGH(DATAFRAME),90).shift(4)<SMA(OPEN(DATAFRAME),40).shift(3))",20,history.close,False,2281,2168
0,1000,0.015625,US,CST6CDT,1,60min,2010-01-01,2023-05-01,0720,1400,60,long,market,"(RSI(MedPrice(DATAFRAME),35).shift(4)<RSI(HIGH(DATAFRAME),88).shift(3))&(RSI(MedBodyPrice(DATAFRAME),137).shift(1)>RSI(HIGH(DATAFRAME),116).shift(1))",15,history.close,False,2343,1859
0,1000,0.015625,US,CST6CDT,1,60min,2010-01-01,2023-05-01,0720,1400,60,long,market,"(SMA(MedBodyPrice(DATAFRAME),145).shift(2)<SMA(MedPrice(DATAFRAME),135).shift(4))&(RSI(CLOSE(DATAFRAME),175).shift(4)>40)",22,history.close,False,2643,2487
0,1000,0.015625,US,CST6CDT,1,60min,2010-01-01,2023-05-01,0720,1400,60,long,market,"(RSI(HIGH(DATAFRAME),129).shift(4)<RSI(AvgPrice(DATAFRAME),144).shift(2))&(RSI(LOW(DATAFRAME),50).shift(3)<RSI(OPEN(DATAFRAME),58).shift(2))",20,history.close,False,2399,2387
0,1000,0.015625,US,CST6CDT,1,60min,2010-01-01,2023-05-01,0720,1400,60,long,market,"(RSI(MedPrice(DATAFRAME),115).shift(3)<65)&(RSI(LOW(DATAFRAME),50).shift(3)<RSI(OPEN(DATAFRAME),58).shift(2))",21,history.close,False,2465,2625
0,1000,0.015625,US,CST6CDT,1,60min,2010-01-01,2023-05-01,0720,1400,60,long,market,"(SMA(AvgPrice(DATAFRAME),20).shift(2)>SMA(HIGH(DATAFRAME),150).shift(2))&(SMA(HIGH(DATAFRAME),150).shift(4)<MedBodyPrice(DATAFRAME).shift(4))",20,history.close,False,2281,2273
0,1000,0.015625,US,CST6CDT,1,60min,2010-01-01,2023-05-01,0720,1400,60,long,market,"(RSI(OPEN(DATAFRAME),58).shift(1)>RSI(LOW(DATAFRAME),49).shift(2))&(RSI(OPEN(DATAFRAME),131).shift(3)>RSI(HIGH(DATAFRAME),135).shift(1))",21,history.close,False,2634,2332
0,1000,0.015625,US,CST6CDT,1,60min,2010-01-01,2023-05-01,0720,1400,60,long,market,"(SMA(AvgPrice(DATAFRAME),170).shift(3)<MedPrice(DATAFRAME).shift(3))&(RSI(MedBodyPrice(DATAFRAME),135).shift(2)>RSI(OPEN(DATAFRAME),161).shift(1))",16,history.close,False,2345,2125
0,1000,0.015625,US,CST6CDT,1,60min,2010-01-01,2023-05-01,0720,1400,60,long,market,"(SMA(CLOSE(DATAFRAME),145).shift(3)<SMA(HIGH(DATAFRAME),45).shift(1))&(SMA(MedBodyPrice(DATAFRAME),115).shift(2)<CLOSE(DATAFRAME).shift(4))",21,history.close,False,2465,2312
0,1000,0.015625,US,CST6CDT,1,60min,2010-01-01,2023-05-01,0720,1400,60,long,market,"(RSI(LOW(DATAFRAME),50).shift(3)<RSI(OPEN(DATAFRAME),58).shift(2))&(SMA(CLOSE(DATAFRAME),5).shift(1)<AvgPrice(DATAFRAME).shift(3))",20,history.close,False,2406,2446
